"","ensembl","beta","p.value","prod"
"9915","FBgn0052418",0.00308367212805715,0.428795871055352,0.00113401859088417
"7052","FBgn0037169",0.0028793461289797,0.428870532348972,0.00105866011279148
"5261","FBgn0034092",0.00492923102985481,0.428883887295679,0.00181228240851402
"11141","FBgn0262360",0.00526867046440896,0.428905799453876,0.00193696390108643
"4384","FBgn0032492",8.50175272179282e-05,0.429490752817855,3.12053587974351e-05
"2306","FBgn0027581",0.00124629486057661,0.429521707955367,0.000457408761325709
"10837","FBgn0260660",0.00285466158520196,0.429877674129442,0.00104667625626912
"11362","FBgn0263780",0.00793056066595648,0.430152056411312,0.00290558292825951
"9739","FBgn0051910",0.00591062173679402,0.430615655231387,0.0021627566946452
"10032","FBgn0052793",0.000304173973420291,0.430837140933028,0.000111232426688399
"8426","FBgn0039439",0.0071926294306222,0.430996970001414,0.00262909150452405
"2382","FBgn0028369",0.00506911374561304,0.431625023886189,0.00184968607160258
"1981","FBgn0025637",0.00331822793626856,0.431906065538988,0.00120986140007899
"7618","FBgn0038109",0.00327655737537073,0.431989715825087,0.00119439229388174
"1924","FBgn0025111",0.00388673305778332,0.432065090995094,0.00141652305547727
"5405","FBgn0034345",0.00682424395877322,0.432436947271434,0.00248455168145378
"1085","FBgn0011296",0.0113221143227745,0.433060578999428,0.00411503771047031
"6579","FBgn0036423",0.00503818014414872,0.43311784021879,0.00183084406860795
"3005","FBgn0030242",0.00140484453221154,0.433143972793874,0.000510475160859452
"10743","FBgn0259734",0.0063678553192648,0.433166742944432,0.00231372771857269
"10118","FBgn0053194",0.00606321594544867,0.43335524978769,0.00220189287337445
"2197","FBgn0027066",0.00460139175077129,0.433419526589178,0.00167072635512231
"5839","FBgn0035141",0.00569376232924304,0.433490476617907,0.00206695210105403
"8406","FBgn0039406",0.00362007205685139,0.433765069035788,0.00131316457502426
"9819","FBgn0052133",0.00553211875321209,0.433934760234394,0.00200581105176536
"9497","FBgn0051200",0.012513615095208,0.434263296804411,0.00453301796216584
"6678","FBgn0036577",0.00707284701479387,0.434969926932722,0.00255712254433167
"1094","FBgn0011474",0.00331907851944864,0.435216185112963,0.00119916634813511
"680","FBgn0004173",0.00315116103182064,0.435354381027888,0.00113806411944765
"9843","FBgn0052204",0.00308177002770111,0.435612400117949,0.00111221008228886
"10738","FBgn0259714",0.00174505208902759,0.435784341491961,0.000629489810968801
"4794","FBgn0033265",0.00425440569298723,0.435927233260104,0.00153407912642954
"2613","FBgn0029079",0.00642880808828014,0.436088776550591,0.00231710373672386
"3504","FBgn0031040",0.00477830717613881,0.436278682577375,0.0017213182971868
"3195","FBgn0030554",0.000547367384404476,0.436392378251296,0.000197119498705992
"8883","FBgn0040505",0.00269455285778791,0.436646185553078,0.000969689624495975
"636","FBgn0003961",0.00556176568440874,0.436875230246324,0.00200024774910612
"10669","FBgn0259143",0.00477240216190471,0.437691667409198,0.00171248928213319
