"","ensembl","p.value"
"482","FBgn0036825",0.0279793520801379
"483","FBgn0002590",0.0281136898316149
"484","FBgn0261608",0.0281634581871308
"485","FBgn0030795",0.0281932688743381
"486","FBgn0022288",0.0282898473600844
"487","FBgn0039580",0.0283730219681438
"488","FBgn0031161",0.0284087388501415
"489","FBgn0010341",0.0285377469788084
"490","FBgn0039656",0.0285421412797324
"491","FBgn0032859",0.0285693756210082
"492","FBgn0051469",0.0287786488389194
"493","FBgn0266019",0.0288249154988455
"494","FBgn0041232",0.0290035294708451
"495","FBgn0086447",0.0295012480184465
"496","FBgn0027109",0.0297614209006893
"497","FBgn0262569",0.0297962435038835
"498","FBgn0032151",0.02981877676092
"499","FBgn0032286",0.0298734844903506
"500","FBgn0036207",0.0304889820153821
"501","FBgn0034670",0.0305157056735641
"502","FBgn0050438",0.03052273276574
"503","FBgn0013305",0.0305567511627441
"504","FBgn0014031",0.0305816242652954
"505","FBgn0011293",0.0307808156590546
"506","FBgn0029769",0.0310187886433991
"507","FBgn0034968",0.0311386627418045
"508","FBgn0030715",0.031331572023776
"509","FBgn0040736",0.0313496232747963
"510","FBgn0030599",0.031510284176929
"511","FBgn0032785",0.0318071038349858
"512","FBgn0039732",0.0318603659257839
"513","FBgn0041183",0.0318965856070162
"514","FBgn0030748",0.031936048341128
"515","FBgn0004926",0.0319396545807405
"516","FBgn0030103",0.0319418721803097
"517","FBgn0029003",0.0319445814025493
"518","FBgn0036761",0.0320922907587533
"519","FBgn0263396",0.0321347197756861
"520","FBgn0036778",0.0321890390068335
"521","FBgn0263143",0.0322792871693963
"522","FBgn0010415",0.0323240366749894
"523","FBgn0001256",0.0323792388683158
"524","FBgn0035280",0.0326281457483548
"525","FBgn0010296",0.0326546554362573
"526","FBgn0023129",0.0326795969783301
"527","FBgn0038682",0.0328097832066033
"528","FBgn0052412",0.032873484593205
"529","FBgn0033740",0.0329187471209783
"530","FBgn0034728",0.0330025845141416
"531","FBgn0025864",0.0332563899002631
"532","FBgn0038838",0.0333074695293155
"533","FBgn0030334",0.0333198196159243
"534","FBgn0052553",0.0333429706615331
"535","FBgn0023535",0.0334709632643078
"536","FBgn0040321",0.0335454294791107
"537","FBgn0053510",0.0337343693382657
"538","FBgn0010333",0.0337937276029287
"539","FBgn0040349",0.033813501961524
"540","FBgn0046687",0.0339255459027219
"541","FBgn0003310",0.0339679719314532
"542","FBgn0261624",0.0340330084202968
"543","FBgn0040734",0.0341311411817568
"544","FBgn0030587",0.0341702723575185
"545","FBgn0030846",0.0344516602386957
"546","FBgn0034915",0.034464755999232
"547","FBgn0033304",0.0345020897853461
"548","FBgn0013307",0.0345037124038683
"549","FBgn0032382",0.0346527806180211
"550","FBgn0264389",0.0349345049198494
"551","FBgn0028670",0.0351008691169873
"552","FBgn0039757",0.0351432366948572
"553","FBgn0038610",0.0352317290498087
"554","FBgn0019929",0.0353566254913793
"555","FBgn0038638",0.0355273773522013
"556","FBgn0034528",0.0355388940646822
"557","FBgn0039731",0.0355468263240848
"558","FBgn0000179",0.0356016222682977
"559","FBgn0051036",0.0357444884681904
"560","FBgn0039593",0.0357566866346216
"561","FBgn0029745",0.0362070006124147
