"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","geneSymbol"
"FBgn0031627",4709.66108297005,-0.26069955138401,0.0782014184957475,-3.33369338304505,0.000857010738383666,1,"FBgn0031627","CG15630"
"FBgn0031628",397.871875900985,0.378205190953584,0.0876304700066717,4.31590964792028,1.58946987721634e-05,0.163667713256967,"FBgn0031628","CG3294"
"FBgn0031629",21.170952136572,-0.0442813221494065,0.243863726575082,-0.181582241735213,0.855910586195307,1,"FBgn0031629","Clect27"
"FBgn0031630",59.3229919210088,-0.90724666732617,0.178617923373703,-5.07925884586642,3.78910159772849e-07,0.00390163791518103,"FBgn0031630","CG15629"
"FBgn0031631",643.724021057498,0.00505582423663134,0.0737579200676229,0.068546187744937,0.94535085400634,1,"FBgn0031631","CG3225"
"FBgn0031632",6777.80938831192,-0.37584307227735,0.0590699835572902,-6.36267440150599,1.98270706197505e-10,2.04159346171571e-06,"FBgn0031632","CG15628"
"FBgn0031633",711.869880721208,0.0518250388741115,0.0641284190907064,0.808144651138329,0.419007315908687,1,"FBgn0031633","Fnta"
"FBgn0031634",48.1569215697249,0.0514194912495425,0.176202216481634,0.291820910521304,0.770423556504199,1,"FBgn0031634","Ir25a"
"FBgn0031635",713.68382072619,0.258505514016257,0.0866200165471731,2.98436232548484,0.00284170051262651,1,"FBgn0031635","tank"
"FBgn0031636",5707.88963560548,0.0175838628677646,0.0355540658344888,0.494566864718678,0.620905896698079,1,"FBgn0031636","CG12194"
"FBgn0031637",5515.26738666977,0.0536153504773038,0.0577755698838875,0.927993450952634,0.353410966777412,1,"FBgn0031637","mxt"
"FBgn0031638",587.108224952144,0.0686190804217146,0.0701165876650627,0.978642610925371,0.327756597311908,1,"FBgn0031638","CG11927"
"FBgn0031639",685.756181864393,-0.0776566334952044,0.076749195603708,-1.01182341892131,0.31162249046167,1,"FBgn0031639","mRpS2"
"FBgn0031640",653.116246679053,0.0543479904378518,0.102973441323997,0.527786482990797,0.597647539916125,1,"FBgn0031640","Mon1"
"FBgn0031643",1299.77802637966,0.210965459730442,0.0626375583129864,3.36803453730257,0.00075706111714925,1,"FBgn0031643","CG3008"
"FBgn0031644",1.51585569003283,0.308890928629377,0.180677948034041,1.70962163335605,0.0873358625898239,NA,"FBgn0031644","CG15625"
"FBgn0031645",843.138673346997,0.201722339629148,0.174256350247275,1.15761829823073,0.247019838610678,1,"FBgn0031645","CG3036"
"FBgn0031646",6.75616183926572,-0.128728225213596,0.244130932826689,-0.527291743504629,0.597991006977356,1,"FBgn0031646","CG2837"
"FBgn0031649",1284.57611284075,-0.074437998295823,0.0557375930271469,-1.33550794451364,0.181710156853531,1,"FBgn0031649","hoe2"
"FBgn0031650",160.044221955038,0.622589568181799,0.144645111714242,4.30425584939071,1.67547949321763e-05,0.17252412341662,"FBgn0031650","CG14044"
"FBgn0031651",992.205108925315,-0.269365354852673,0.0744972280575678,-3.61577688024205,0.000299448216479792,1,"FBgn0031651","mRpL24"
"FBgn0031652",480.417047194378,-0.101012955258104,0.0884180869053824,-1.1424467413121,0.253268371898246,1,"FBgn0031652","jet"
"FBgn0031653",0.100099501336758,0.00166514341618387,0.0612146699379257,0.0272017053734407,0.978298855519364,NA,"FBgn0031653","Jon25Biii"
"FBgn0031654",0,NA,NA,NA,NA,NA,"FBgn0031654","Jon25Bii"
"FBgn0031655",200.765552451862,0.148690934058079,0.110522749089288,1.34534234158396,0.178514705899808,1,"FBgn0031655","Marcal1"
"FBgn0031657",400.710559989094,0.0889736533193541,0.0974726415172694,0.912806423775748,0.361344359231178,1,"FBgn0031657","CG3756"
"FBgn0031659",1194.2812659194,-0.342750145288828,0.0709182603867484,-4.8330309206636,1.34469891589846e-06,0.0138463647370064,"FBgn0031659","CG14043"
"FBgn0031660",1182.34164724714,-0.404657312333961,0.0751453934689136,-5.38499159634264,7.2448033199964e-08,0.000745997397860029,"FBgn0031660","mRpL28"
"FBgn0031661",550.803826380941,0.130185263385847,0.0764616914773173,1.70262076172441,0.0886390621481512,1,"FBgn0031661","Gmd"
"FBgn0031662",1367.06558430011,-0.00953972351774814,0.0532521310117002,-0.179142568316226,0.857825757924669,1,"FBgn0031662","CG3792"
"FBgn0031663",449.762417446272,0.10256178509994,0.0759671789153393,1.35008021311728,0.176990254574595,1,"FBgn0031663","CG8891"
"FBgn0031664",509.919515483973,-0.0103026770472757,0.0981192490015418,-0.105001588904475,0.91637454792766,1,"FBgn0031664","CG8892"
"FBgn0031668",0,NA,NA,NA,NA,NA,"FBgn0031668","CG31917"
"FBgn0031670",1293.06365358168,0.136495676380011,0.0671013468037777,2.03417193367461,0.0419342632777202,1,"FBgn0031670","CG3887"
"FBgn0031673",3454.91757504742,0.124629179294071,0.0449567602795034,2.77220107764063,0.00556786311346173,1,"FBgn0031673","CG31650"
"FBgn0031675",3231.54666420788,-0.0933716817376027,0.0538024502235991,-1.73545407968516,0.082660408365998,1,"FBgn0031675","CG9121"
"FBgn0031676",455.935932343236,0.0787016492605227,0.0814270971734169,0.966528981045588,0.333779552334464,1,"FBgn0031676","CG14040"
"FBgn0031677",0.24191562275144,0.0172007673368755,0.0806160045776595,0.213366656248829,0.831040986126977,NA,"FBgn0031677","CG14036"
"FBgn0031678",71.9824290992087,0.332157711171064,0.154210037758976,2.153930548219,0.0312456188801679,1,"FBgn0031678","CG31918"
"FBgn0031681",3657.4084162965,-0.200472316535532,0.0822535492078159,-2.43724822170327,0.0147995164613531,1,"FBgn0031681","pgant5"
"FBgn0031682",461.48368673983,0.116825033596143,0.0942659400167367,1.23931330420512,0.215229493603361,1,"FBgn0031682","CG5828"
"FBgn0031683",6955.28251913414,-0.392764482509394,0.0363974134690116,-10.7909998287046,3.79636632573651e-27,3.90911840561088e-23,"FBgn0031683","CG4230"
"FBgn0031684",1710.91454777413,-0.370549507734938,0.0686644195974992,-5.39652865205946,6.79425661723652e-08,0.000699604603876844,"FBgn0031684","CG8680"
"FBgn0031688",178.625197869512,0.118488505058292,0.146917302161297,0.806497963923993,0.419955781546688,1,"FBgn0031688","Cyp28d2"
"FBgn0031689",9666.24607859611,0.321482775526824,0.109244785729894,2.94277455330166,0.00325285207356957,1,"FBgn0031689","Cyp28d1"
"FBgn0031690",3.81203527526406,0.251376893155768,0.23294469507341,1.07912692785964,0.280531148615398,NA,"FBgn0031690","CG7742"
"FBgn0031692",72.6677993161571,-0.234664919864075,0.243785643771603,-0.962587116425636,0.335754765555889,1,"FBgn0031692","TpnC25D"
"FBgn0031693",54.0453833582998,0.416254295176169,0.223621038421133,1.8614272526195,0.0626838649983749,1,"FBgn0031693","Cyp4ac1"
"FBgn0031694",29.0454017986849,0.260736474158171,0.238815495097136,1.09179043869042,0.27492522259197,1,"FBgn0031694","Cyp4ac2"
"FBgn0031695",499.272689609204,0.77340538137084,0.150867068489165,5.12640292620508,2.9533021749733e-07,0.00304101524957001,"FBgn0031695","Cyp4ac3"
"FBgn0031696",1147.31467279,-0.0934949954501576,0.0875532251396118,-1.06786466519162,0.285581563473811,1,"FBgn0031696","Bub1"
"FBgn0031697",2921.04853365307,0.010162029558365,0.175114591958855,0.0580307411546416,0.953724141878726,1,"FBgn0031697","CG14024"
"FBgn0031698",4010.57163458928,-0.206299282422523,0.113967867920669,-1.81015303862773,0.0702720578696538,1,"FBgn0031698","Ncoa6"
"FBgn0031700",9.06381971715867,-0.0288705789002352,0.242098186927652,-0.119251528756235,0.905076083828304,1,"FBgn0031700","CG14022"
"FBgn0031701",1.74184765760642,0.256102088835281,0.192699789235883,1.32902111543976,0.183841003616383,NA,"FBgn0031701","TotM"
"FBgn0031702",1281.43572014966,-0.0941945855063296,0.105350660200278,-0.894105317681541,0.371265544389291,1,"FBgn0031702","fusl"
"FBgn0031703",601.823659638854,-0.737301568801024,0.081978566396739,-8.99383340314613,2.38754258439271e-19,2.45845259914918e-15,"FBgn0031703","CG12512"
"FBgn0031707",0.280931577330554,0.0313965031223423,0.0961145605466329,0.326657094864512,0.743927254802581,NA,"FBgn0031707","CG14020"
"FBgn0031708",1192.36254493385,-0.131961367469807,0.0710639598712751,-1.85693799935777,0.0633199755345669,1,"FBgn0031708","CG7382"
"FBgn0031710",1274.28373597999,-0.0900993582491753,0.0525941705486028,-1.71310541281212,0.0866931484179321,1,"FBgn0031710","CG7371"
"FBgn0031711",359.935002979132,0.0709465051320333,0.0927080677824707,0.765267865343731,0.444112055125478,1,"FBgn0031711","CG6907"
"FBgn0031713",1134.12498346216,-0.0393729474835085,0.0826900404715124,-0.476151024464341,0.633966788028666,1,"FBgn0031713","CG7277"
"FBgn0031715",8.80439460390056,0.631414610641386,0.235084324936479,2.68590690090459,0.00723332404456896,1,"FBgn0031715","tomb"
"FBgn0031716",2086.34700400735,-0.504988382488592,0.0481356264792055,-10.4909485847607,9.50690953001757e-26,9.78926474305909e-22,"FBgn0031716","CG14015"
"FBgn0031717",749.252222707366,-0.0566971665261017,0.095370834613036,-0.594491667773996,0.552183313581148,1,"FBgn0031717","Oscillin"
"FBgn0031718",0.219447512977676,0.00820896548928821,0.0662922864152631,0.123829874231011,0.90144997763466,NA,"FBgn0031718","CG14014"
"FBgn0031719",0,NA,NA,NA,NA,NA,"FBgn0031719","CG18269"
"FBgn0031720",0.717621494614709,-0.186374024133172,0.146740060969799,-1.2700964065398,0.204050291502184,NA,"FBgn0031720","CG14013"
"FBgn0031721",0.1632598640333,0.0043573274099974,0.0617748928935032,0.0705355720730946,0.943767388625552,NA,"FBgn0031721","CG14017"
"FBgn0031722",0.241710480109654,0.0166742621088234,0.0803698423174284,0.207469140513761,0.835643490649429,NA,"FBgn0031722","CG14011"
"FBgn0031723",4.76463037978743,-0.0375903630926532,0.241328381100679,-0.155764369367609,0.876218756881146,NA,"FBgn0031723","CG7251"
"FBgn0031724",0.576692102834869,0.0369257126848136,0.13045006028782,0.283063975619039,0.77712779597998,NA,"FBgn0031724","CG18266"
"FBgn0031725",1932.61591852616,0.0110321817799835,0.0648308611669729,0.170168675556692,0.864877485680045,1,"FBgn0031725","CG14010"
"FBgn0031726",0.421454773871005,0.0619148468592806,0.111299720352595,0.556289329956409,0.578013080180952,NA,"FBgn0031726","Cyp6a16"
"FBgn0031728",5.77486131976012,0.134941906628663,0.2431352777441,0.555007516312338,0.578889519331245,1,"FBgn0031728","Hsp60C"
"FBgn0031729",0.0898765083645232,0.00179987563034663,0.0612146699379257,0.0294026845553816,0.976543431766149,NA,"FBgn0031729","CG12511"
"FBgn0031730",14.7978363250563,0.11582646324008,0.230316557124031,0.502901157808227,0.615033767071865,1,"FBgn0031730","CG7236"
"FBgn0031731",0.0668613675618466,-0.0177637945476065,0.0612146699379257,-0.290188521242045,0.771672017301558,NA,"FBgn0031731","CG14007"
"FBgn0031732",0.326784407737617,-0.0145897176859835,0.110794979986762,-0.13168211851951,0.89523572969423,NA,"FBgn0031732","CG11149"
"FBgn0031733",11.4521853849128,1.27022865427527,0.24828319246385,5.11604769404687,3.12004198671191e-07,0.00321270723371726,"FBgn0031733","CG14006"
"FBgn0031734",87.8554103394982,-0.042483040924952,0.224323234641036,-0.189383150581498,0.849792529397689,1,"FBgn0031734","CG11147"
"FBgn0031735",66.3775137897163,-0.632678408989576,0.198546680873632,-3.18654739633877,0.00143981894605747,1,"FBgn0031735","CG11029"
"FBgn0031736",1969.59564489682,-0.341546500669472,0.0999595399552627,-3.41684746470754,0.000633507639343675,1,"FBgn0031736","CG11030"
"FBgn0031737",24.1783436707038,0.32489024098255,0.225110527264855,1.44324765674018,0.148950719018348,1,"FBgn0031737","obst-E"
"FBgn0031738",1821.97195228111,-0.26065263463844,0.0919570066865717,-2.83450542846457,0.00458966781673279,1,"FBgn0031738","CG9171"
"FBgn0031739",445.530847043833,0.403470356528547,0.103390582443166,3.90238982114579,9.52475979486153e-05,0.980764516076892,"FBgn0031739","CG14005"
"FBgn0031740",693.188600899605,0.146751452432102,0.118613937831814,1.23721929407811,0.216005680438875,1,"FBgn0031740","CG7239"
"FBgn0031741",25.5594887007234,0.201925708929817,0.219724926987598,0.918993177962071,0.358099140502053,1,"FBgn0031741","CG11034"
"FBgn0031745",166.84633932059,0.247866987959366,0.150746344006452,1.64426533587281,0.100121406277333,1,"FBgn0031745","rau"
"FBgn0031746",0.47197851133571,0.00891891578945867,0.0990850653510914,0.0900127154163544,0.928277110406961,NA,"FBgn0031746","CG9029"
"FBgn0031747",2.07093415845582,0.0662866425869732,0.214446064229931,0.309106361196258,0.757240620453784,NA,"FBgn0031747","CG9021"
"FBgn0031749",0,NA,NA,NA,NA,NA,"FBgn0031749","CG14000"
"FBgn0031751",87.9201475634672,0.311766437210609,0.166596167307843,1.87139021412489,0.0612910143045136,1,"FBgn0031751","CG9016"
"FBgn0031752",3428.05690047378,-0.141571769946473,0.0454623773015269,-3.11404238734603,0.00184542976037384,1,"FBgn0031752","CG9044"
"FBgn0031753",707.825349776935,-0.158665113093508,0.14931870474656,-1.06259368752771,0.287966250916668,1,"FBgn0031753","CG13999"
"FBgn0031756",1.02104713819213,0.125039675591754,0.156120251134122,0.800919001112374,0.4231785392055,NA,"FBgn0031756","CG13992"
"FBgn0031757",0,NA,NA,NA,NA,NA,"FBgn0031757","Ucp4C"
"FBgn0031758",0,NA,NA,NA,NA,NA,"FBgn0031758","Ucp4B"
"FBgn0031759",7138.68631469119,-0.26749205792005,0.0905597055753766,-2.95376465968526,0.0031392330162676,1,"FBgn0031759","lid"
