,x
703,FBgn0004646
704,FBgn0004647
705,FBgn0004648
706,FBgn0004650
707,FBgn0004652
708,FBgn0004654
709,FBgn0004655
710,FBgn0004656
711,FBgn0004657
712,FBgn0004666
713,FBgn0004687
714,FBgn0004698
715,FBgn0004784
716,FBgn0004795
717,FBgn0004797
718,FBgn0004811
719,FBgn0004828
720,FBgn0004832
721,FBgn0004837
722,FBgn0004838
723,FBgn0004839
724,FBgn0004841
725,FBgn0004842
726,FBgn0004852
727,FBgn0004854
728,FBgn0004855
729,FBgn0004856
730,FBgn0004858
731,FBgn0004859
732,FBgn0004860
733,FBgn0004861
734,FBgn0004862
735,FBgn0004863
736,FBgn0004864
737,FBgn0004865
738,FBgn0004867
739,FBgn0004868
740,FBgn0004870
741,FBgn0004872
742,FBgn0004875
743,FBgn0004876
744,FBgn0004878
745,FBgn0004880
746,FBgn0004882
747,FBgn0004885
748,FBgn0004888
749,FBgn0004889
750,FBgn0004893
751,FBgn0004895
752,FBgn0004896
753,FBgn0004897
754,FBgn0004898
755,FBgn0004901
756,FBgn0004903
757,FBgn0004907
758,FBgn0004908
759,FBgn0004910
760,FBgn0004913
761,FBgn0004914
762,FBgn0004915
763,FBgn0004919
764,FBgn0004921
765,FBgn0004924
766,FBgn0004926
767,FBgn0004956
768,FBgn0004957
769,FBgn0005198
770,FBgn0005278
771,FBgn0005322
772,FBgn0005355
773,FBgn0005386
774,FBgn0005390
775,FBgn0005391
776,FBgn0005411
777,FBgn0005427
778,FBgn0005533
779,FBgn0005536
780,FBgn0005558
781,FBgn0005561
782,FBgn0005564
783,FBgn0005585
784,FBgn0005586
785,FBgn0005590
786,FBgn0005593
787,FBgn0005596
788,FBgn0005612
789,FBgn0005614
790,FBgn0005616
791,FBgn0005617
792,FBgn0005619
793,FBgn0005624
794,FBgn0005626
795,FBgn0005631
796,FBgn0005632
797,FBgn0005633
798,FBgn0005636
799,FBgn0005638
800,FBgn0005640
801,FBgn0005642
802,FBgn0005648
803,FBgn0005649
804,FBgn0005655
805,FBgn0005658
806,FBgn0005659
807,FBgn0005660
808,FBgn0005664
809,FBgn0005666
810,FBgn0005670
811,FBgn0005671
812,FBgn0005672
813,FBgn0005674
814,FBgn0005677
815,FBgn0005683
816,FBgn0005694
817,FBgn0005695
818,FBgn0005696
819,FBgn0005771
820,FBgn0005775
821,FBgn0005777
822,FBgn0005778
823,FBgn0008635
824,FBgn0008636
825,FBgn0008646
826,FBgn0008651
827,FBgn0010014
828,FBgn0010015
829,FBgn0010019
830,FBgn0010038
831,FBgn0010039
832,FBgn0010040
833,FBgn0010041
834,FBgn0010042
835,FBgn0010044
836,FBgn0010051
837,FBgn0010052
838,FBgn0010053
839,FBgn0010078
840,FBgn0010100
841,FBgn0010105
842,FBgn0010109
843,FBgn0010113
844,FBgn0010114
845,FBgn0010173
846,FBgn0010194
847,FBgn0010197
848,FBgn0010198
849,FBgn0010213
850,FBgn0010215
851,FBgn0010217
852,FBgn0010220
853,FBgn0010222
854,FBgn0010223
855,FBgn0010225
856,FBgn0010226
857,FBgn0010228
858,FBgn0010235
859,FBgn0010238
860,FBgn0010240
861,FBgn0010241
862,FBgn0010246
863,FBgn0010247
864,FBgn0010258
865,FBgn0010263
866,FBgn0010265
867,FBgn0010269
868,FBgn0010278
869,FBgn0010280
870,FBgn0010282
871,FBgn0010287
872,FBgn0010288
873,FBgn0010292
874,FBgn0010300
875,FBgn0010303
876,FBgn0010309
877,FBgn0010313
878,FBgn0010314
879,FBgn0010315
880,FBgn0010316
881,FBgn0010317
882,FBgn0010323
883,FBgn0010328
884,FBgn0010329
885,FBgn0010333
886,FBgn0010339
887,FBgn0010340
888,FBgn0010341
889,FBgn0010342
890,FBgn0010348
891,FBgn0010350
892,FBgn0010352
893,FBgn0010355
894,FBgn0010356
895,FBgn0010379
896,FBgn0010380
897,FBgn0010382
898,FBgn0010383
899,FBgn0010385
900,FBgn0010387
901,FBgn0010388
902,FBgn0010389
903,FBgn0010391
904,FBgn0010395
905,FBgn0010397
906,FBgn0010398
907,FBgn0010399
908,FBgn0010406
909,FBgn0010407
910,FBgn0010408
911,FBgn0010409
912,FBgn0010411
913,FBgn0010412
914,FBgn0010414
915,FBgn0010415
916,FBgn0010416
917,FBgn0010417
918,FBgn0010421
919,FBgn0010422
920,FBgn0010423
921,FBgn0010424
922,FBgn0010431
923,FBgn0010433
924,FBgn0010434
925,FBgn0010435
926,FBgn0010438
927,FBgn0010441
928,FBgn0010452
929,FBgn0010453
930,FBgn0010470
931,FBgn0010473
932,FBgn0010482
933,FBgn0010488
934,FBgn0010497
935,FBgn0010501
936,FBgn0010504
937,FBgn0010516
938,FBgn0010520
939,FBgn0010531
940,FBgn0010548
941,FBgn0010549
942,FBgn0010551
943,FBgn0010583
944,FBgn0010590
945,FBgn0010591
946,FBgn0010602
947,FBgn0010607
948,FBgn0010611
949,FBgn0010612
950,FBgn0010620
951,FBgn0010621
952,FBgn0010622
953,FBgn0010638
954,FBgn0010651
955,FBgn0010660
956,FBgn0010741
957,FBgn0010747
958,FBgn0010750
959,FBgn0010762
960,FBgn0010768
961,FBgn0010770
962,FBgn0010772
963,FBgn0010774
964,FBgn0010786
965,FBgn0010803
966,FBgn0010808
967,FBgn0010812
968,FBgn0010825
969,FBgn0010830
970,FBgn0010877
971,FBgn0010894
972,FBgn0010905
973,FBgn0010909
974,FBgn0010926
975,FBgn0011016
976,FBgn0011020
977,FBgn0011202
978,FBgn0011204
979,FBgn0011205
980,FBgn0011206
981,FBgn0011207
982,FBgn0011211
983,FBgn0011217
984,FBgn0011224
985,FBgn0011225
986,FBgn0011227
987,FBgn0011230
988,FBgn0011232
989,FBgn0011236
990,FBgn0011241
991,FBgn0011259
992,FBgn0011260
993,FBgn0011270
994,FBgn0011272
995,FBgn0011274
996,FBgn0011276
997,FBgn0011277
998,FBgn0011279
999,FBgn0011280
1000,FBgn0011284
1001,FBgn0011286
1002,FBgn0011288
1003,FBgn0011289
1004,FBgn0011290
1005,FBgn0011291
1006,FBgn0011293
1007,FBgn0011296
1008,FBgn0011297
1009,FBgn0011300
1010,FBgn0011305
1011,FBgn0011327
1012,FBgn0011335
1013,FBgn0011336
1014,FBgn0011361
1015,FBgn0011455
1016,FBgn0011474
1017,FBgn0011476
1018,FBgn0011481
1019,FBgn0011509
1020,FBgn0011559
1021,FBgn0011566
1022,FBgn0011569
1023,FBgn0011570
1024,FBgn0011571
1025,FBgn0011573
1026,FBgn0011576
1027,FBgn0011581
1028,FBgn0011582
1029,FBgn0011584
1030,FBgn0011586
1031,FBgn0011589
1032,FBgn0011591
1033,FBgn0011592
1034,FBgn0011596
1035,FBgn0011603
1036,FBgn0011604
1037,FBgn0011606
1038,FBgn0011638
1039,FBgn0011640
1040,FBgn0011642
1041,FBgn0011648
1042,FBgn0011655
1043,FBgn0011656
1044,FBgn0011659
1045,FBgn0011660
1046,FBgn0011661
1047,FBgn0011666
1048,FBgn0011672
1049,FBgn0011674
1050,FBgn0011676
1051,FBgn0011692
1052,FBgn0011693
1053,FBgn0011695
1054,FBgn0011701
1055,FBgn0011703
1056,FBgn0011704
1057,FBgn0011705
1058,FBgn0011706
1059,FBgn0011708
1060,FBgn0011710
1061,FBgn0011715
1062,FBgn0011722
1063,FBgn0011725
1064,FBgn0011726
1065,FBgn0011737
1066,FBgn0011739
1067,FBgn0011740
1068,FBgn0011741
1069,FBgn0011742
1070,FBgn0011745
1071,FBgn0011746
1072,FBgn0011747
1073,FBgn0011754
1074,FBgn0011758
1075,FBgn0011760
1076,FBgn0011762
1077,FBgn0011763
1078,FBgn0011766
1079,FBgn0011768
1080,FBgn0011769
1081,FBgn0011770
1082,FBgn0011771
1083,FBgn0011774
1084,FBgn0011785
1085,FBgn0011787
1086,FBgn0011802
1087,FBgn0011817
1088,FBgn0011818
1089,FBgn0011824
1090,FBgn0011826
1091,FBgn0011828
