"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","geneSymbol","cg","Bonf.correction"
"FBgn0045980",22.0998983387979,-0.603622557868214,0.138127295686415,-4.37004543431151,1.24220687656651e-05,0.000161029720024311,"FBgn0045980",42959,"niki","CG10951",0.15313926374312
"FBgn0046113",38.1104666710494,-0.621287220140813,0.140106621819217,-4.43438869679176,9.2333906867733e-06,0.000123593094882238,"FBgn0046113",33275,"GluRIIC","CG4226",0.113829240386541
"FBgn0046776",13.0720510838964,0.528323822177123,0.147264878591986,3.58757517222355,0.000333767522933923,0.0029838187256921,"FBgn0046776",NA,"CR14033","CR14033",1
"FBgn0047205",8.21632514071467,0.562368543349231,0.151784087838711,3.70505598680948,0.000211344045784199,0.00202166876428834,"FBgn0047205",NA,"CR32385","CR32385",1
"FBgn0050001",60.6556799265086,0.622783887363505,0.122140583755176,5.09891035572451,3.41614276770289e-07,5.80885628141258e-06,"FBgn0050001",246383,"CG30001","CG30001",0.00421142080402412
"FBgn0050015",7703.65026718005,0.58226028618557,0.0420009156518983,13.8630379159187,1.06087498072986e-43,1.65550212182756e-41,"FBgn0050015",36147,"CG30015","CG30015",1.30784667624377e-39
"FBgn0050035",3922.23636746782,0.519196335377456,0.0564401474589482,9.1990605757204,3.61092711842355e-20,2.28284664184234e-18,"FBgn0050035",36248,"Tret1-1","CG30035",4.45155095159255e-16
"FBgn0050082",3.36538871861898,0.781002506290239,0.132807700322607,5.8807019803301,4.08530147620089e-09,9.61137339668027e-08,"FBgn0050082",246443,"CG30082","CG30082",5.03635965986046e-05
"FBgn0050083",5.50742810132003,0.795147905493465,0.146306390927331,5.43481320572256,5.48538656381926e-08,1.06326801193025e-06,"FBgn0050083",246444,"CG30083","CG30083",0.000676238455587638
"FBgn0050099",91.4402640493287,-0.787018547494393,0.0946331630952503,-8.31651951337865,9.05840844172985e-17,4.31166252006353e-15,"FBgn0050099",36818,"CG30099","CG30099",1.11672059269646e-12
"FBgn0050104",122.230263750829,0.547910061409532,0.106595491965319,5.14008661443016,2.74611852188849e-07,4.7150625540169e-06,"FBgn0050104",246458,"NT5E-2","CG30104",0.00338541491378413
"FBgn0050359",3715.70510276856,0.605366482568304,0.0400065255067072,15.1316935150195,1.00086226250964e-51,1.86948938973013e-49,"FBgn0050359",35828,"Mal-A5","CG30359",1.23386299722189e-47
"FBgn0050384",73.4217421493131,1.62885412769896,0.11274776896188,14.4468856696372,2.62279665674637e-47,4.3694374573472e-45,"FBgn0050384",246584,"CG30384","CG30384",3.23338371843693e-43
"FBgn0050401",8.09524201282125,0.637500805553886,0.150868241722186,4.2255467305558,2.3836135210221e-05,0.0002886560656892,"FBgn0050401",246593,"CG30401","CG30401",0.293851874871605
"FBgn0050424",613.749692652827,-0.617604377244342,0.0625354526374144,-9.87606791343244,5.2866800598527e-23,3.76729432241989e-21,"FBgn0050424",246606,"CG30424","CG30424",6.51741917778641e-19
"FBgn0050440",7.90317309361027,-0.549364641491248,0.148949775389972,-3.68825424578811,0.000225797969033758,0.00213797032430735,"FBgn0050440",35496,"CG30440","CG30440",1
"FBgn0050456",28.1947194854564,-0.526202843518765,0.134187574975736,-3.92139766751068,8.80368350459057e-05,0.00092036308865914,"FBgn0050456",36929,"CG30456","CG30456",1
"FBgn0050466",264.553398715062,-0.620590518463426,0.0661011409290066,-9.38849934723438,6.08611622576137e-21,4.0556562611452e-19,"FBgn0050466",246629,"CG30466","CG30466",7.50296408311862e-17
"FBgn0051004",50.9967432846094,0.632671457864296,0.112275966779375,5.63496780310526,1.75091046240747e-08,3.76049201751904e-07,"FBgn0051004",43688,"mesh","CG31004",0.000215852241805593
"FBgn0051019",85.1311447380341,0.5913307734126,0.0982358996874022,6.01949771208165,1.74959129941171e-09,4.31379230782951e-08,"FBgn0051019",318558,"CG31019","CG31019",2.15689615391476e-05
"FBgn0051053",7.61140592333855,0.534708831935687,0.151062992898476,3.53964145470787,0.000400670979978236,0.00347663042290303,"FBgn0051053",318572,"CG31053","CG31053",1
"FBgn0051075",562.926456005109,0.518005857970585,0.0509665708630069,10.1636396013955,2.88115865644158e-24,2.10171147435573e-22,"FBgn0051075",43244,"CG31075","CG31075",3.55189239166118e-20
"FBgn0051174",17.9583062112485,-1.32403642182593,0.147866528577052,-8.95426730151438,3.41999303591637e-19,1.98875821447061e-17,"FBgn0051174",318616,"CG31174","CG31174",4.2161674146777e-15
"FBgn0051200",76.9386437736119,0.680389957013469,0.104206684728578,6.5292352288689,6.61063599435663e-11,1.89597692639189e-09,"FBgn0051200",326124,"CG31200","CG31200",8.14959205384286e-07
"FBgn0051431",27.5293328229207,-0.566302685008984,0.130167027711166,-4.35058474459123,1.35774967421894e-05,0.000173454279624571,"FBgn0051431",326138,"CG31431","CG31431",0.167383379837711
"FBgn0051436",226.32749577371,0.668708637411968,0.0750495293673168,8.91023092415531,5.09263805486105e-19,2.89318165623627e-17,"FBgn0051436",318734,"CG31436","CG31436",6.27820419403271e-15
"FBgn0051445",75.2331211178353,0.574760918490942,0.134737692335398,4.26577677358618,1.99207884325143e-05,0.000245338141654382,"FBgn0051445",326140,"CG31445","CG31445",0.245583479796037
"FBgn0051547",1543.24842554998,0.671846045437809,0.058490435421316,11.4864257822393,1.54367515722256e-30,1.48675213579997e-28,"FBgn0051547",40663,"CG31547","CG31547",1.90304273382397e-26
"FBgn0051720",67.8327723431985,-0.552928526765502,0.0995078075921496,-5.55663460129458,2.75025654013524e-08,5.68878567563544e-07,"FBgn0051720",318914,"mthl15","CG31720",0.000339051626267872
"FBgn0052074",9.60968100950519,0.594275062490455,0.149706445388122,3.96960238385038,7.19926676455548e-05,0.000775809096795803,"FBgn0052074",317842,"CG32074","CG32074",0.887525606734399
"FBgn0052082",521.029753581044,-0.591314918668337,0.0683914514875516,-8.64603551769867,5.33195247781056e-18,2.78526737908681e-16,"FBgn0052082",39258,"CG32082","CG32082",6.57323101464486e-14
"FBgn0052088",7.71807850902523,-0.664134516549921,0.144422372229159,-4.598557040014,4.25427242475966e-06,6.05619751182876e-05,"FBgn0052088",326196,"CG32088","CG32088",0.0524466704524371
"FBgn0052091",188.002100851713,-0.573296481035809,0.101886647032775,-5.62680682632915,1.83576109884685e-08,3.9222292593733e-07,"FBgn0052091",39307,"CG32091","CG32091",0.00022631262826584
"FBgn0052237",20.0904442152406,-1.93341051773791,0.151287253914401,-12.7797317203724,2.1280228923648e-37,2.5225255977955e-35,"FBgn0052237",38584,"CG32237","CG32237",2.62342662170732e-33
"FBgn0052255",17.3565824936838,2.01991820221454,0.15128140913608,13.3520583510536,1.15220562100369e-40,1.57826565508149e-38,"FBgn0052255",117477,"Gr64f","CG32255",1.42043908957334e-36
"FBgn0052364",236.754850667863,-1.64030049062017,0.0848500913072084,-19.3317469121075,2.9041629550732e-83,1.02292916886121e-80,"FBgn0052364",317996,"CG32364","CG32364",3.58025209101424e-79
"FBgn0052365",177.273444522235,2.44636351383326,0.0859629649681549,28.4583426681422,3.8422155558815e-178,3.64360256714671e-175,"FBgn0052365",38876,"CG32365","CG32365",4.73668333729072e-174
"FBgn0052368",595.02210712774,-1.15630454635366,0.151028118927891,-7.65622027581327,1.91485175431394e-14,7.49406108799435e-13,"FBgn0052368",317997,"CG32368","CG32368",2.36062924271822e-10
"FBgn0052373",413.863891813161,1.32954920280927,0.0762164281520446,17.4443913870766,3.79741952514876e-68,9.17933096196742e-66,"FBgn0052373",318000,"CG32373","CG32373",4.68145879060339e-64
"FBgn0052437",73.9271473718151,4.19022753374936,0.13818205727705,30.3239625774866,5.54014919808033e-202,6.20899630126675e-199,"FBgn0052437",40366,"CG32437","CG32437",6.82989593139342e-198
"FBgn0052440",13.0390170002554,2.29025433049316,0.151614590975517,15.1057646612851,1.48375128641693e-51,2.73010236700715e-49,"FBgn0052440",318030,"CG32440","CG32440",1.82916858589479e-47
"FBgn0052553",14.6799639207304,-0.916309773501642,0.151639491508786,-6.04268561167361,1.51569821925821e-09,3.77485407010407e-08,"FBgn0052553",318087,"CG32553","CG32553",1.86855276470152e-05
"FBgn0052580",281.029462078882,-0.603837183121813,0.112755502038488,-5.35527909685238,8.54244545731452e-08,1.60291122675454e-06,"FBgn0052580",318097,"Muc14A","CG32580",0.00105311267597773
"FBgn0052581",690.387037507286,-6.34509198543462,0.118335164454153,-53.6196659268846,0,0,"FBgn0052581",318098,"CG32581","CG32581",0
"FBgn0052602",72.9568190831622,0.96197881130935,0.111160594844682,8.65395523164896,4.97447286322034e-18,2.62073937853762e-16,"FBgn0052602",32384,"Muc12Ea","CG32602",6.13253014577803e-14
"FBgn0052640",10.6886070182547,-1.40733443891451,0.151903255118008,-9.26467597959768,1.95670521782708e-20,1.25636780861314e-18,"FBgn0052640",318135,"CG32640","CG32640",2.41222619253723e-16
"FBgn0052645",15.5165888121455,-1.85807723545596,0.152286200603104,-12.2012186796791,3.06206427986749e-34,3.34063083559349e-32,"FBgn0052645",32264,"CG32645","CG32645",3.77491284422065e-30
"FBgn0052816",42.1686802587541,0.531977997293441,0.1264753897251,4.20617796434327,2.59725737542026e-05,0.000311772044052394,"FBgn0052816",318225,"CG32816","CG32816",0.320189889241809
"FBgn0052856",203.890317828031,-0.516254691850174,0.0874958181134916,-5.90033561581806,3.62762891314759e-09,8.63347668750647e-08,"FBgn0052856",318251,"CG32856","CG32856",4.47214092412835e-05
"FBgn0053196",262.196979266635,-0.838064657694203,0.0984280822759405,-8.51448731211395,1.67328942329927e-17,8.4542262337842e-16,"FBgn0053196",318824,"dp","CG33196",2.06283120104334e-13
"FBgn0053217",594.747536709882,0.571592725240191,0.141994198756254,4.02546533764651,5.6862756393305e-05,0.000631535189924923,"FBgn0053217",2768951,"CG33217","CG33217",0.701004060816664
"FBgn0053349",42.0494962743176,-0.577788237739374,0.151008206610362,-3.82620422233217,0.000130134341646827,0.0013106994802468,"FBgn0053349",2768722,"ppk25","CG33349",1
"FBgn0053458",79.0329184973393,-1.69287027174954,0.122093706852698,-13.865336022535,1.02743824598539e-43,1.62387932006511e-41,"FBgn0053458",2768846,"CG33458","CG33458",1.26662586965078e-39
"FBgn0053459",89.1595126029338,-1.42224123986056,0.130129303193485,-10.9294463657112,8.33554196740828e-28,7.08693526718685e-26,"FBgn0053459",2768847,"CG33459","CG33459",1.02760561374209e-23
"FBgn0053465",3.20336594465231,-0.705805924227729,0.132105870159373,-5.34272945915454,9.15573612248676e-08,1.71018052906086e-06,"FBgn0053465",3885587,"CG33465","CG33465",0.00112871914918017
"FBgn0053475",6.51578733522583,0.627043487125426,0.147863259961699,4.24069838097611,2.2282539682409e-05,0.000271710335514083,"FBgn0053475",2768724,"CG33475","CG33475",0.274699149204738
